"assay","curve_id","study_id","study_short","virus_type","food_matrix","food_category","temperature","detection_method","pretreatment","pcr_pretreat","matrix_group","n_obs","n_nonzero_tp","n_censored","has_censoring","classification","reason"
"infectivity","curve_2","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MNV-1","0.3% fat milk","dairy",60,"TCID50","none","not_applicable","other_food",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 132%, range 1.410 log10/min"
"infectivity","curve_3","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MNV-1","1.5% fat milk","dairy",60,"TCID50","none","not_applicable","other_food",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 205%, range 1.640 log10/min"
"infectivity","curve_4","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MNV-1","3% fat milk","dairy",60,"TCID50","none","not_applicable","other_food",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 56%, range 0.620 log10/min"
"infectivity","curve_5","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MNV-1","PBS","simple matrix",60,"TCID50","none","not_applicable","simple_matrix",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 39%, range 0.900 log10/min"
"infectivity","curve_6","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MS2","0.3% fat milk","dairy",60,"PFU","none","not_applicable","other_food",5,4,0,FALSE,"approximately log-linear","Slope CV 3%, range 0.001 log10/min; consistent rate across time points"
"infectivity","curve_7","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MS2","1.5% fat milk","dairy",60,"PFU","none","not_applicable","other_food",5,4,0,FALSE,"approximately log-linear","Slope CV 23%, range 0.009 log10/min; consistent rate across time points"
"infectivity","curve_9","10.1007/s12560-013-9112-6","10.1007/s12560-013-9112-6","MS2","SM buffer","simple matrix",60,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","Slope CV 22%, range 0.011 log10/min; consistent rate across time points"
"infectivity","curve_15","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","bilberry","produce",65,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 87%, range 1.270 log10/min"
"infectivity","curve_18","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","raspberry","produce",65,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 102%, range 1.100 log10/min"
"infectivity","curve_21","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","strawberry","produce",65,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 123%, range 0.180 log10/min"
"infectivity","curve_19","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","raspberry","produce",70,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 94%, range 1.630 log10/min"
"infectivity","curve_17","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","bilberry","produce",75,"PFU","none","not_applicable","other_food",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 195%, range 1.640 log10/min"
"infectivity","curve_23","10.1016/j.fm.2010.05.018","10.1016/j.fm.2010.05.018","HAV","strawberry","produce",75,"PFU","none","not_applicable","other_food",7,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 178%, range 1.210 log10/min"
"infectivity","curve_28","10.1111/jfs.12113","10.1111/jfs.12113","MNV-1","dried mussels","shellfish",60,"TCID50","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 19%, range 0.028 log10/min; consistent rate across time points"
"infectivity","curve_32","10.1128/AEM.00428-14","10.1128/AEM.00428-14","HAV","mussel","shellfish",60,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 35%, range 0.095 log10/min; consistent rate across time points"
"infectivity","curve_33","10.1128/AEM.00428-14","10.1128/AEM.00428-14","HAV","mussel","shellfish",65,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 28%, range 0.120 log10/min; consistent rate across time points"
"infectivity","curve_37","10.1128/AEM.01784-07","10.1128/AEM.01784-07","FCV-F9","water","simple matrix",60,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 58%, range 1.039 log10/min"
"infectivity","curve_38","10.1128/AEM.01784-07","10.1128/AEM.01784-07","FCV-F9","water","simple matrix",65,"PFU","none","not_applicable","simple_matrix",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 107%, range 3.818 log10/min"
"infectivity","curve_39","10.1128/AEM.01784-07","10.1128/AEM.01784-07","FCV-F9","water","simple matrix",70,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 93%, range 4.958 log10/min"
"infectivity","curve_40","10.1128/AEM.01784-07","10.1128/AEM.01784-07","FCV-F9","water","simple matrix",75,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 105%, range 12.529 log10/min"
"infectivity","curve_41","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",70,"PFU","none","not_applicable","other_food",9,9,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 43%, range 2.460 log10/min"
"infectivity","curve_43","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",75,"PFU","none","not_applicable","other_food",9,9,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 52%, range 4.680 log10/min"
"infectivity","curve_45","https://doi.org/10.1007/s12560-020-09443-z","10.1007/s12560-020-09443-z","HAV","milk","dairy",80,"PFU","none","not_applicable","other_food",6,6,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 46%, range 7.980 log10/min"
"infectivity","curve_67","https://doi.org/10.1016/j.foodcont.2011.10.004","10.1016/j.foodcont.2011.10.004","FCV-F9","mussel","shellfish",60,"TCID50","none","not_applicable","shellfish",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 61%, range 0.233 log10/min"
"infectivity","curve_69","https://doi.org/10.1016/j.foodcont.2011.10.004","10.1016/j.foodcont.2011.10.004","FCV-F9","mussel","shellfish",80,"TCID50","none","not_applicable","shellfish",5,4,0,FALSE,"approximately log-linear","Slope CV 0%, range 0.000 log10/min; consistent rate across time points"
"infectivity","curve_82","https://doi.org/10.1016/j.foodcont.2018.08.031","10.1016/j.foodcont.2018.08.031","MNV-1","strawberry","produce",72,"PFU","none","not_applicable","other_food",6,5,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 74%, range 14.867 log10/min"
"infectivity","curve_116","https://doi.org/10.1016/j.ijfoodmicro.2013.11.026","10.1016/j.ijfoodmicro.2013.11.026","MNV-1","mussel","shellfish",60,"PFU","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 24%, range 0.120 log10/min; consistent rate across time points"
"infectivity","curve_134","https://doi.org/10.1046/j.1365-2672.1999.00935.x","10.1046/j.1365-2672.1999.00935.x","HAV","mussel","shellfish",80,"TCID50","none","not_applicable","shellfish",5,4,1,TRUE,"approximately log-linear","Slope CV 34%, range 0.142 log10/min; consistent rate across time points"
"infectivity","curve_144","https://doi.org/10.1093/jambio/lxae033","10.1093/jambio/lxae033","MS2","water","simple matrix",60,"PFU","none","not_applicable","simple_matrix",12,11,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 119%, range 0.080 log10/min"
"infectivity","curve_146","https://doi.org/10.1111/ijfs.12674","10.1111/ijfs.12674","HAV","mussel","shellfish",60,"TCID50","none","not_applicable","shellfish",4,3,0,FALSE,"approximately log-linear","Slope CV 21%, range 0.021 log10/min; consistent rate across time points"
"infectivity","curve_160","https://doi.org/10.1111/j.1365-2672.2009.04179.x","10.1111/j.1365-2672.2009.04179.x","MNV-1","water","simple matrix",63,"PFU","none","not_applicable","simple_matrix",5,4,0,FALSE,"approximately log-linear","No clear biphasic transition; slope CV 181%, range 2.440 log10/min"
